season,week,away_team,home_team,poolhost_home_line
2026,3,LAC,BUF,-7
2026,3,CAR,CLE,2.5
2026,3,NYJ,DET,-6.5
2026,3,HOU,IND,2.5
2026,3,NE,JAX,-3
2026,3,KC,MIA,11.5
2026,3,TEN,NYG,-6
2026,3,CIN,PIT,3.5
2026,3,SEA,WAS,7
2026,3,ARI,SF,-8.5
2026,3,MIN,TB,1.5
2026,3,BAL,DAL,3
2026,3,LV,NO,-3
2026,3,LA,DEN,2.5
2026,3,PHI,CHI,3.5
