season,week,team,conference,division,off_injury_adj,def_injury_adj
2026,5,LV,AFC,AFC West,0,0
2026,5,MIA,AFC,AFC East,0,0
2026,5,MIN,NFC,NFC North,0,0
2026,5,NE,AFC,AFC East,0,0
2026,5,NO,NFC,NFC South,0,0
2026,5,NYG,NFC,NFC East,0,0
2026,5,NYJ,AFC,AFC East,0,0
2026,5,PHI,NFC,NFC East,0,0
2026,5,PIT,AFC,AFC North,0,0
2026,5,SEA,NFC,NFC West,0,0
2026,5,SF,NFC,NFC West,0,0
2026,5,TB,NFC,NFC South,0,0
2026,5,TEN,AFC,AFC South,0,0
2026,5,WAS,NFC,NFC East,0,0
2026,6,ARI,NFC,NFC West,0,0
2026,6,ATL,NFC,NFC South,0,0
2026,6,BAL,AFC,AFC North,0,0
2026,6,BUF,AFC,AFC East,0,0
2026,6,CAR,NFC,NFC South,0,0
2026,6,CHI,NFC,NFC North,0,0
2026,6,CIN,AFC,AFC North,0,0
2026,6,CLE,AFC,AFC North,0,0
2026,6,DAL,NFC,NFC East,0,0
2026,6,DEN,AFC,AFC West,0,0
2026,6,DET,NFC,NFC North,0,0
2026,6,GB,NFC,NFC North,0,0
2026,6,HOU,AFC,AFC South,0,0
2026,6,IND,AFC,AFC South,0,0
2026,6,JAX,AFC,AFC South,0,0
2026,6,KC,AFC,AFC West,0,0
2026,6,LA,NFC,NFC West,0,0
2026,6,LAC,AFC,AFC West,0,0
2026,6,LV,AFC,AFC West,0,0
2026,6,MIA,AFC,AFC East,0,0
2026,6,MIN,NFC,NFC North,0,0
2026,6,NE,AFC,AFC East,0,0
2026,6,NO,NFC,NFC South,0,0
2026,6,NYG,NFC,NFC East,0,0
2026,6,NYJ,AFC,AFC East,0,0
2026,6,PHI,NFC,NFC East,0,0
2026,6,PIT,AFC,AFC North,0,0
2026,6,SEA,NFC,NFC West,0,0
2026,6,SF,NFC,NFC West,0,0
2026,6,TB,NFC,NFC South,0,0
2026,6,TEN,AFC,AFC South,0,0
2026,6,WAS,NFC,NFC East,0,0
2026,7,ARI,NFC,NFC West,0,0
2026,7,ATL,NFC,NFC South,0,0
2026,7,BAL,AFC,AFC North,0,0
2026,7,BUF,AFC,AFC East,0,0
2026,7,CAR,NFC,NFC South,0,0
2026,7,CHI,NFC,NFC North,0,0
2026,7,CIN,AFC,AFC North,0,0
2026,7,CLE,AFC,AFC North,0,0
2026,7,DAL,NFC,NFC East,0,0
2026,7,DEN,AFC,AFC West,0,0
2026,7,DET,NFC,NFC North,0,0
2026,7,GB,NFC,NFC North,0,0
2026,7,HOU,AFC,AFC South,0,0
2026,7,IND,AFC,AFC South,0,0
2026,7,JAX,AFC,AFC South,0,0
2026,7,KC,AFC,AFC West,0,0
2026,7,LA,NFC,NFC West,0,0
2026,7,LAC,AFC,AFC West,0,0
2026,7,LV,AFC,AFC West,0,0
2026,7,MIA,AFC,AFC East,0,0
