contest,season,week,game_id,away_team,home_team,circa_away_line,circa_home_line
Circa Sports Million VIII,2026,1,2026_1_NE_SEA,NE,SEA,3,-3
Circa Sports Million VIII,2026,1,2026_1_SF_LA,SF,LA,4,-4
Circa Sports Million VIII,2026,1,2026_1_CLE_JAX,CLE,JAX,8.5,-8.5
Circa Sports Million VIII,2026,1,2026_1_TB_CIN,TB,CIN,3.5,-3.5
Circa Sports Million VIII,2026,1,2026_1_BAL_IND,BAL,IND,-3.5,3.5
Circa Sports Million VIII,2026,1,2026_1_ATL_PIT,ATL,PIT,3.5,-3.5
Circa Sports Million VIII,2026,1,2026_1_BUF_HOU,BUF,HOU,-0.5,0.5
Circa Sports Million VIII,2026,1,2026_1_CHI_CAR,CHI,CAR,-3,3
Circa Sports Million VIII,2026,1,2026_1_NYJ_TEN,NYJ,TEN,1.5,-1.5
Circa Sports Million VIII,2026,1,2026_1_NO_DET,NO,DET,7,-7
Circa Sports Million VIII,2026,1,2026_1_ARI_LAC,ARI,LAC,8.5,-8.5
Circa Sports Million VIII,2026,1,2026_1_MIA_LV,MIA,LV,3.5,-3.5
Circa Sports Million VIII,2026,1,2026_1_WAS_PHI,WAS,PHI,4.5,-4.5
Circa Sports Million VIII,2026,1,2026_1_GB_MIN,GB,MIN,1.5,-1.5
Circa Sports Million VIII,2026,1,2026_1_DAL_NYG,DAL,NYG,-3,3
Circa Sports Million VIII,2026,1,2026_1_DEN_KC,DEN,KC,3,-3
